"superclass","subclass"
"http://dbpedia.org/ontology/Mine","http://dbpedia.org/ontology/CoalPit"
"http://dbpedia.org/ontology/Monument","http://dbpedia.org/ontology/GraveMonument"
"http://dbpedia.org/ontology/Monument","http://dbpedia.org/ontology/Memorial"
"http://dbpedia.org/ontology/MotorcycleRider","http://dbpedia.org/ontology/MotocycleRacer"
"http://dbpedia.org/ontology/MotorcycleRider","http://dbpedia.org/ontology/SpeedwayRider"
"http://dbpedia.org/ontology/MotorsportRacer","http://dbpedia.org/ontology/MotorcycleRider"
"http://dbpedia.org/ontology/MotorsportRacer","http://dbpedia.org/ontology/RacingDriver"
"http://dbpedia.org/ontology/Municipality","http://dbpedia.org/ontology/FormerMunicipality"
"http://dbpedia.org/ontology/Murderer","http://dbpedia.org/ontology/SerialKiller"
"http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/BackScene"
"http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/ClassicalMusicArtist"
"http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/Instrumentalist"
"http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/MusicDirector"
"http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/Singer"
"http://dbpedia.org/ontology/MusicalWork","http://dbpedia.org/ontology/Album"
